DATA,CODI_ENS,MUNICIPI,CODI_EOI,NOM_ESTACIO,MAGNITUD,CONTAMINANT,UNITATS,TIPUS_ESTACIO,AREA_URBANA,CODI_COMARCA,NOM_COMARCA,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,ALTITUD,LATITUD,LONGITUD,GEOREFERENCIA,"",num_alumnes,mal_de_panxa,calfreds,mal_de_cap,mal_de_coll,mocs,nas_tapat,esternut,vomits,altres,be,regular,malament,tos,classe
13/11/2024,816910007,"Prat de Llobregat, el",8169008,El Prat de Llobregat (Jardins de la Pau),7,NO,µg/m3,background,suburban,11,Baix Llobregat,1,1,1,1,2,1,3,13,20,4,3,2,2,3,2,2,3,2,2,2,2,1,3,1,5,"41,321487","2,0977015","",865,10,1,1,0,0,2,0,1,1,0,7,1,0,1,Institut Banyoles Banyoles FIP1 Classe39
04/09/2024,4312330008,Reus,43123005,Reus,65,H2S,µg/m3,traffic,suburban,8,Baix Camp,"","","","","","","","","","","","","","","","","","","","","","","","",102,"41,150803","1,1202013","",795,12,0,0,0,0,1,0,0,1,0,9,2,1,0,Institut Sant Feliu Sant Feliu FIP1 Classe27
05/04/2024,801550006,Badalona,8015021,Badalona,12,NOX,µg/m3,background,urban,13,Barcelonès,24,21,25,39,37,41,81,131,203,97,89,104,57,54,35,47,39,17,32,16,34,48,60,65,7,"41,443985","2,2378986","",35,20,1,1,2,1,2,1,1,0,2,17,2,1,0,Institut Torre Vicens Lleida 2n ESO  Classe1
05/04/2024,801550006,Badalona,8015021,Badalona,12,NOX,µg/m3,background,urban,13,Barcelonès,24,21,25,39,37,41,81,131,203,97,89,104,57,54,35,47,39,17,32,16,34,48,60,65,7,"41,443985","2,2378986","",169,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Institut Priorat Falset 1r ESO B Classe4
05/04/2024,801550006,Badalona,8015021,Badalona,12,NOX,µg/m3,background,urban,13,Barcelonès,24,21,25,39,37,41,81,131,203,97,89,104,57,54,35,47,39,17,32,16,34,48,60,65,7,"41,443985","2,2378986","",283,15,0,0,2,0,0,0,0,0,0,9,5,1,0,Institut Priorat Falset 2n ESO A Classe6
05/04/2024,801550006,Badalona,8015021,Badalona,12,NOX,µg/m3,background,urban,13,Barcelonès,24,21,25,39,37,41,81,131,203,97,89,104,57,54,35,47,39,17,32,16,34,48,60,65,7,"41,443985","2,2378986","",366,22,0,0,5,0,0,0,0,0,0,17,5,0,0,Institut Priorat Falset 2n ESO C Classe8
05/04/2024,801550006,Badalona,8015021,Badalona,12,NOX,µg/m3,background,urban,13,Barcelonès,24,21,25,39,37,41,81,131,203,97,89,104,57,54,35,47,39,17,32,16,34,48,60,65,7,"41,443985","2,2378986","",402,19,0,0,0,1,0,0,0,0,1,17,2,0,0,Escola Mercè Rodoreda Barcelona 3r primària A Classe9
05/04/2024,801550006,Badalona,8015021,Badalona,12,NOX,µg/m3,background,urban,13,Barcelonès,24,21,25,39,37,41,81,131,203,97,89,104,57,54,35,47,39,17,32,16,34,48,60,65,7,"41,443985","2,2378986","",443,24,1,0,1,0,0,0,0,0,0,22,2,0,0,Escola Mercè Rodoreda Barcelona 3r primària B Classe10
05/04/2024,801550006,Badalona,8015021,Badalona,12,NOX,µg/m3,background,urban,13,Barcelonès,24,21,25,39,37,41,81,131,203,97,89,104,57,54,35,47,39,17,32,16,34,48,60,65,7,"41,443985","2,2378986","",517,23,1,0,1,0,0,0,1,0,2,17,6,0,0,Escola Mercè Rodoreda Barcelona 5è primària B Classe12
05/04/2024,801550006,Badalona,8015021,Badalona,12,NOX,µg/m3,background,urban,13,Barcelonès,24,21,25,39,37,41,81,131,203,97,89,104,57,54,35,47,39,17,32,16,34,48,60,65,7,"41,443985","2,2378986","",573,11,0,0,1,1,2,2,1,0,1,8,3,0,0,Institut Palamós Palamós CAI A  Classe13
05/04/2024,801550006,Badalona,8015021,Badalona,12,NOX,µg/m3,background,urban,13,Barcelonès,24,21,25,39,37,41,81,131,203,97,89,104,57,54,35,47,39,17,32,16,34,48,60,65,7,"41,443985","2,2378986","",598,7,0,0,1,1,3,0,0,1,2,4,2,1,0,Institut Palamós Palamós CAI B  Classe14
15/08/2024,829810007,Vic,8298008,Vic,8,NO2,µg/m3,background,suburban,24,Osona,"","","","","","","","","","","","","","","","","","","","","","","","",498,"41,93501","2,2400014","",775,15,2,0,0,0,0,2,0,0,0,11,3,0,0,Institut Banyoles Banyoles FIP1 Classe25
07/05/2024,812130008,Mataró,8121013,Mataró,7,NO,µg/m3,background,urban,21,Maresme,1,1,1,1,1,1,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,40,"41,547176","2,4432983","",50,26,0,2,4,2,2,1,1,0,3,20,4,2,3,Institut Torre Vicens Lleida 2n ESO  Classe1
07/05/2024,812130008,Mataró,8121013,Mataró,7,NO,µg/m3,background,urban,21,Maresme,1,1,1,1,1,1,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,40,"41,547176","2,4432983","",138,21,0,0,0,1,3,1,1,0,2,14,7,0,1,Institut Priorat Falset 1r ESO A Classe3
07/05/2024,812130008,Mataró,8121013,Mataró,7,NO,µg/m3,background,urban,21,Maresme,1,1,1,1,1,1,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,40,"41,547176","2,4432983","",187,21,0,1,0,0,0,0,0,0,3,16,4,1,0,Institut Priorat Falset 1r ESO B Classe4
07/05/2024,812130008,Mataró,8121013,Mataró,7,NO,µg/m3,background,urban,21,Maresme,1,1,1,1,1,1,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,40,"41,547176","2,4432983","",238,22,0,1,2,3,5,9,4,1,2,8,9,5,3,Institut Priorat Falset 1r ESO C Classe5
07/05/2024,812130008,Mataró,8121013,Mataró,7,NO,µg/m3,background,urban,21,Maresme,1,1,1,1,1,1,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,40,"41,547176","2,4432983","",461,24,2,0,0,0,3,1,0,0,0,16,7,1,2,Escola Mercè Rodoreda Barcelona 3r primària B Classe10
07/05/2024,812130008,Mataró,8121013,Mataró,7,NO,µg/m3,background,urban,21,Maresme,1,1,1,1,1,1,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,40,"41,547176","2,4432983","",677,13,2,0,0,1,2,2,0,0,0,10,3,0,0,Institut Palamós Palamós FIP1  Classe17
27/09/2024,801550006,Badalona,8015021,Badalona,12,NOX,µg/m3,background,urban,13,Barcelonès,4,3,8,4,7,16,36,67,125,"","","",22,29,16,21,45,23,18,12,12,12,9,7,7,"41,443985","2,2378986","",818,18,2,1,0,0,2,0,0,0,1,13,4,1,1,Institut La Bisbal La Bisbal FIP1 Classe30
